ALTITUDE_HIGH,ALTITUDE_LOW,ANNUAL_RAIN_JULY_JUN,AVE_CRUSH,AVE_CLIMATE_PERIOD,CREATE_BY,AVE_CRUSH_PERIOD,EDIT_DATE,GI_AREA_KM2,GI_NAME,GI_NUMBER,GI_TYPE,GROW_DEGREE_DAYS_OCT_APR,GROW_SEASON_RAIN_OCT_APR,MEAN_JAN_TEMP,MORE_INFO,OBJECTID,SOUTH_LATITUDE,STATE,GI_URL,VINE_AREA_HA,YEAR_REGISTERED,Shape__Area,Shape__Length
1298,604,762,363,1993-2022,Spatial Vision,2019-2023,2022/11/07 00:00:00+00,1158,Granite Belt,89,region,1839,555,21.3,https://www.wineaustralia.com/market-insights/regional-snapshots,1,-28.9633196911508,QLD,https://www.wineaustralia.com/labelling/geographical-indicators/labelling-gi-granite-belt,317,2002,0.106959371245011,1.59776735019097
1141,169,701,52,1993-2022,Spatial Vision,2019-2023,2022/11/07 00:00:00+00,8274,South Burnett,82,region,2629,531,24.7,https://www.wineaustralia.com/market-insights/regional-snapshots,2,-26.9986473386037,QLD,https://www.wineaustralia.com/labelling/geographical-indicators/labelling-gi-south-burnett,218,2000,0.748743730542628,4.25681251948228
127,85,382,1280,1993-2022,Spatial Vision,2019-2023,2022/11/07 00:00:00+00,597,Perricoota,69,region,2121,208,24.1,https://www.wineaustralia.com/market-insights/regional-snapshots,3,-36.1299061890194,NSW,https://www.wineaustralia.com/labelling/geographical-indicators/labelling-gi-perricoota,416,1999,0.0596827698923335,1.78750399432581
540,66,408,302776,1993-2022,Spatial Vision,2019-2023,2022/11/07 00:00:00+00,77974,Riverina,59,region,2456,240,26.1,https://www.wineaustralia.com/market-insights/regional-snapshots,4,-35.6711141783766,NSW,https://www.wineaustralia.com/labelling/geographical-indicators/labelling-gi-riverina,17248,1998,7.63863641580565,10.8811527581319
527,262,621,2461,1993-2022,Spatial Vision,2019-2023,2022/11/07 00:00:00+00,1456,Cowra,57,region,2157,371,24.6,https://www.wineaustralia.com/market-insights/regional-snapshots,5,-34.0586579210262,NSW,https://www.wineaustralia.com/labelling/geographical-indicators/labelling-gi-cowra,932,1998,0.141671730751568,4.92837850784856
1242,227,711,1782,1993-2022,Spatial Vision,2019-2023,2022/11/07 00:00:00+00,9760,Mudgee,80,region,1972,462,23.1,https://www.wineaustralia.com/market-insights/regional-snapshots,6,-33.1255350743841,NSW,https://www.wineaustralia.com/labelling/geographical-indicators/labelling-gi-mudgee,1922,2000,0.936925289946885,6.12549176649755
1390,376,778,3750,1993-2022,Spatial Vision,2019-2023,2022/11/07 00:00:00+00,3422,Orange,52,region,1603,461,21.6,https://www.wineaustralia.com/market-insights/regional-snapshots,7,-33.8123725433582,NSW,https://www.wineaustralia.com/labelling/geographical-indicators/labelling-gi-orange,1060,1997,0.331636636786698,8.81299319232883
1597,0,813,4716,1993-2022,Spatial Vision,2019-2023,2022/11/07 00:00:00+00,19908,Hunter,41,region,2131,553,23.2,https://www.wineaustralia.com/market-insights/regional-snapshots,8,-33.1389521247407,NSW,https://www.wineaustralia.com/labelling/geographical-indicators/labelling-gi-hunter,2609,1997,1.90680102954548,8.80777191080162
649,0,1388,9,1993-2022,Spatial Vision,2019-2023,2022/11/07 00:00:00+00,1524,Hastings River,68,region,2320,1000,23.2,https://www.wineaustralia.com/market-insights/regional-snapshots,9,-31.7339031779892,NSW,https://www.wineaustralia.com/labelling/geographical-indicators/labelling-gi-hastings-river,13,1999,0.144669857831104,2.12215446796676
1579,205,824,36,1993-2022,Spatial Vision,2019-2023,2022/11/07 00:00:00+00,26814,New England Australia,109,region,1714,592,21,https://www.wineaustralia.com/market-insights/regional-snapshots,10,-31.3937109061334,NSW,https://www.wineaustralia.com/labelling/geographical-indicators/labelling-gi-new-england-australia,77,2008,2.50840789826907,9.11366609688489
702,0,1150,7,1993-2022,Spatial Vision,2019-2023,2022/11/07 00:00:00+00,2173,Shoalhaven Coast,94,region,1942,720,21.4,https://www.wineaustralia.com/market-insights/regional-snapshots,11,-35.6862182471743,NSW,https://www.wineaustralia.com/labelling/geographical-indicators/labelling-gi-shoalhaven-coast,41,2002,0.214803887924063,4.55793629947782
906,54,886,14,1993-2022,Spatial Vision,2019-2023,2022/11/07 00:00:00+00,2687,Southern Highlands,90,region,1606,578,20.6,https://www.wineaustralia.com/market-insights/regional-snapshots,12,-34.7693022279154,NSW,https://www.wineaustralia.com/labelling/geographical-indicators/labelling-gi-southern-highlands,140,2002,0.263711622459596,3.37358830692621
1419,264,721,493,1993-2022,Spatial Vision,2019-2023,2022/11/07 00:00:00+00,8607,Canberra District,55,region,1551,421,21.3,https://www.wineaustralia.com/market-insights/regional-snapshots,13,-35.5844421879565,NSW,https://www.wineaustralia.com/labelling/geographical-indicators/labelling-gi-canberra-district,330,1998,0.850194686574014,4.91066705853535
1168,179,695,3912,1993-2022,Spatial Vision,2019-2023,2022/11/07 00:00:00+00,8846,Gundagai,92,region,1976,381,23.9,https://www.wineaustralia.com/market-insights/regional-snapshots,14,-35.4967118969365,NSW,https://www.wineaustralia.com/labelling/geographical-indicators/labelling-gi-gundagai,595,2002,0.873597500643427,4.55059594308772
716,249,646,1315,1993-2022,Spatial Vision,2019-2023,2022/11/07 00:00:00+00,3143,Hilltops,54,region,1912,365,23.5,https://www.wineaustralia.com/market-insights/regional-snapshots,15,-34.8233677687075,NSW,https://www.wineaustralia.com/labelling/geographical-indicators/labelling-gi-hilltops,595,1998,0.308122726102283,3.03943907243527
1290,209,894,408,1993-2022,Spatial Vision,2019-2023,2022/11/07 00:00:00+00,3007,Tumbarumba,63,region,1607,465,21.9,https://www.wineaustralia.com/market-insights/regional-snapshots,16,-36.3455817918662,NSW,https://www.wineaustralia.com/labelling/geographical-indicators/labelling-gi-tumbarumba,215,1998,0.299846578947381,3.2317838986775
592,0,727,16,1993-2022,Spatial Vision,2019-2023,2022/11/07 00:00:00+00,7864,Peel,88,region,2132,168,23.2,https://www.wineaustralia.com/market-insights/regional-snapshots,17,-33.169289647799,WA,https://www.wineaustralia.com/labelling/geographical-indicators/labelling-gi-peel,52,2001,0.756692347132002,4.62789950465546
573,10,800,119,1993-2022,Spatial Vision,2019-2023,2022/11/07 00:00:00+00,3282,Perth Hills,67,region,2333,179,24.2,https://www.wineaustralia.com/market-insights/regional-snapshots,18,-32.4991527151257,WA,https://www.wineaustralia.com/labelling/geographical-indicators/labelling-gi-perth-hills,119,1999,0.312853258864152,4.33052776155519
379,35,696,1055,1993-2022,Spatial Vision,2019-2023,2022/11/07 00:00:00+00,5920,Blackwood Valley,64,region,1802,180,21.4,https://www.wineaustralia.com/market-insights/regional-snapshots,19,-34.2706327596941,WA,https://www.wineaustralia.com/labelling/geographical-indicators/labelling-gi-blackwood-valley,309,1998,0.577203521417459,3.86735428487379
406,0,824,2032,1993-2022,Spatial Vision,2019-2023,2022/11/07 00:00:00+00,5561,Geographe,66,region,1987,175,22.3,https://www.wineaustralia.com/market-insights/regional-snapshots,20,-33.938578567247,WA,https://www.wineaustralia.com/labelling/geographical-indicators/labelling-gi-geographe,790,1999,0.539286493309191,3.95039050662493
1083,0,670,6705,1993-2022,Spatial Vision,2019-2023,2022/11/07 00:00:00+00,17131,Great Southern,40,region,1699,245,20.1,https://www.wineaustralia.com/market-insights/regional-snapshots,21,-35.1348459916492,WA,https://www.wineaustralia.com/labelling/geographical-indicators/labelling-gi-great-southern,2480,1996,1.68319167986692,8.06500941582299
345,108,799,113,1993-2022,Spatial Vision,2019-2023,2022/11/07 00:00:00+00,2246,Manjimup,104,region,1699,229,20.5,https://www.wineaustralia.com/market-insights/regional-snapshots,22,-34.5828791772322,WA,https://www.wineaustralia.com/labelling/geographical-indicators/labelling-gi-manjimup,153,2006,0.220087513160024,2.65483672965923
234,0,946,27059,1993-2022,Spatial Vision,2019-2023,2022/11/07 00:00:00+00,2137,Margaret River,39,region,1862,211,20.8,https://www.wineaustralia.com/market-insights/regional-snapshots,23,-34.3767560067843,WA,https://www.wineaustralia.com/labelling/geographical-indicators/labelling-gi-margaret-river,5671,1996,0.208460148289532,2.45715265894547
317,6,1092,1750,1993-2022,Spatial Vision,2019-2023,2022/11/07 00:00:00+00,2054,Pemberton,105,region,1698,293,20.2,https://www.wineaustralia.com/market-insights/regional-snapshots,24,-34.818939851393,WA,https://www.wineaustralia.com/labelling/geographical-indicators/labelling-gi-pemberton,466,2006,0.20159479450399,2.53009995664533
283,0,654,2737,1993-2022,Spatial Vision,2019-2023,2022/11/07 00:00:00+00,3593,Swan District,62,region,2511,142,24.7,https://www.wineaustralia.com/market-insights/regional-snapshots,25,-32.0785025676394,WA,https://www.wineaustralia.com/labelling/geographical-indicators/labelling-gi-swan-district,709,1998,0.341050415770496,3.50478524286921
